serialno,familysize,income,race,ethnicity,numchildren,numelderly,veteran,disability,waittime,ranking,preferences
2017000020346,3,22200,1,0,0,0,0,1,inf,2,"[3, 1, 2, 4]"
2017000020637,5,16500,2,0,2,1,1,1,inf,1,"[5, 6, 4]"
2017000020681,3,25060,1,0,1,0,0,1,inf,4,"[3, 1, 2, 4]"
2017000020876,1,6100,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000020998,3,33530,1,0,0,0,0,1,inf,3,"[3, 2, 4, 1]"
2017000022307,1,15700,1,0,0,0,0,1,inf,3,"[1, 3, 2]"
2017000022732,4,21000,1,0,2,0,0,1,inf,2,"[4, 5, 2, 3]"
2017000022751,2,21000,1,0,0,0,0,1,inf,3,"[2, 3, 4, 1]"
2017000022792,1,12000,2,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000022932,3,34700,2,0,0,1,0,1,inf,1,"[3, 2, 1, 4]"
2017000023074,1,18300,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000023857,1,14500,1,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000023967,2,12000,1,0,1,0,0,1,inf,3,"[2, 1, 4, 3]"
2017000025514,1,15300,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000027692,4,8200,2,0,0,0,0,1,inf,4,"[4, 2, 3, 5]"
2017000027725,1,9000,2,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000027874,2,27390,9,0,0,0,0,1,inf,1,"[2, 3, 4, 1]"
2017000028230,11,57400,1,0,4,1,0,1,inf,1,"[6, 5]"
2017000028263,7,25100,1,0,3,0,0,1,inf,1,"[6, 5]"
2017000028420,3,24000,2,0,2,0,0,1,inf,3,"[3, 1, 2, 4]"
2017000028616,1,3700,2,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000029130,2,24700,1,0,0,0,1,1,inf,1,"[2, 4, 3, 1]"
2017000029606,1,6000,6,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000029917,4,37000,1,0,2,0,0,1,inf,3,"[4, 3, 5, 2]"
2017000030188,1,14000,2,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000030221,1,1500,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000030797,1,15000,1,0,0,0,0,1,inf,2,"[1, 2, 3]"
2017000030824,1,14500,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000030827,2,16800,2,0,0,0,1,1,inf,1,"[2, 3, 4, 1]"
2017000031359,1,16800,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000031822,7,41000,1,0,4,0,0,1,inf,1,"[6, 5]"
2017000031871,2,15750,1,0,0,2,1,1,inf,1,"[2, 1, 4, 3]"
2017000031951,1,18500,2,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000032275,5,19200,1,0,3,0,0,1,inf,3,"[5, 4, 6]"
2017000032676,2,4200,6,0,0,0,0,1,inf,3,"[2, 3, 4, 1]"
2017000032899,1,8800,1,0,0,0,0,1,inf,2,"[1, 3, 2]"
2017000033568,1,12850,1,1,0,1,0,1,inf,1,"[1, 2, 3]"
2017000033705,1,13500,1,0,0,0,0,1,inf,2,"[1, 2, 3]"
2017000033798,3,36000,2,0,2,0,0,1,inf,2,"[3, 4, 1, 2]"
2017000033975,2,26800,1,0,0,2,0,1,inf,1,"[2, 1, 4, 3]"
2017000034355,5,47800,2,0,1,0,0,1,inf,3,"[5, 4, 6]"
2017000034662,1,18000,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000034799,2,4200,1,0,0,0,0,1,inf,3,"[2, 1, 4, 3]"
2017000034811,2,10400,2,0,1,0,0,1,inf,3,"[2, 3, 4, 1]"
2017000035103,6,15400,2,0,5,0,0,1,inf,1,"[6, 5]"
2017000035583,1,4000,1,0,0,0,0,1,inf,2,"[1, 3, 2]"
2017000035804,1,18300,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000036119,2,10000,6,0,0,0,0,1,inf,1,"[2, 4, 3, 1]"
2017000036153,2,28200,1,0,0,0,0,1,inf,1,"[2, 1, 4, 3]"
2017000036191,5,24000,2,0,3,0,0,1,inf,2,"[5, 6, 4]"
2017000036248,1,15100,1,0,0,0,0,1,inf,2,"[1, 2, 3]"
2017000036251,5,32000,8,0,3,0,0,1,inf,3,"[5, 4, 6]"
2017000036367,1,820,1,0,0,0,0,1,inf,3,"[1, 3, 2]"
2017000036370,7,52900,1,0,4,0,0,1,inf,1,"[6, 5]"
2017000036502,4,23000,2,0,1,1,0,1,inf,4,"[4, 2, 3, 5]"
2017000036710,6,47500,1,0,4,0,0,1,inf,1,"[6, 5]"
2017000037199,4,40000,8,0,2,0,0,1,inf,3,"[4, 2, 5, 3]"
2017000037375,5,2750,1,1,4,0,0,1,inf,2,"[5, 6, 4]"
2017000037612,1,9000,1,0,0,0,0,1,inf,2,"[1, 2, 3]"
2017000037797,1,1500,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000038571,1,1800,1,0,0,0,0,1,inf,2,"[1, 2, 3]"
2017000039045,2,17300,1,0,1,0,0,1,inf,1,"[2, 1, 4, 3]"
2017000039463,6,57500,1,0,3,0,0,1,inf,1,"[6, 5]"
2017000040829,4,40000,1,0,2,0,0,1,inf,4,"[4, 2, 3, 5]"
2017000041559,5,670,9,0,4,0,0,1,inf,2,"[5, 6, 4]"
2017000041638,1,2100,2,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000041739,5,22700,6,0,0,0,0,1,inf,3,"[5, 4, 6]"
2017000042284,2,16800,1,1,0,1,0,1,inf,2,"[2, 4, 3, 1]"
2017000043678,2,20200,2,0,0,1,0,1,inf,4,"[2, 1, 3, 4]"
2017000043718,1,20100,1,0,0,1,1,1,inf,1,"[1, 3, 2]"
2017000043841,2,26700,2,0,0,0,1,1,inf,1,"[2, 4, 1, 3]"
2017000045113,2,26100,2,0,1,0,0,1,inf,1,"[2, 3, 4, 1]"
2017000045439,5,51000,1,0,3,0,0,1,inf,3,"[5, 4, 6]"
2017000046264,4,300,2,0,3,0,0,1,inf,4,"[4, 3, 2, 5]"
2017000046399,2,22400,2,0,1,0,0,1,inf,1,"[2, 3, 1, 4]"
2017000047119,1,18000,2,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000047280,3,30700,2,0,0,1,0,1,inf,3,"[3, 2, 4, 1]"
2017000047905,2,20000,1,0,0,0,0,1,inf,1,"[2, 3, 4, 1]"
2017000048148,1,18000,9,0,0,0,0,1,inf,3,"[1, 3, 2]"
2017000048174,3,19520,1,0,1,0,0,1,inf,3,"[3, 1, 4, 2]"
2017000048562,1,7900,2,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000048764,2,26400,1,0,0,0,0,1,inf,1,"[2, 4, 1, 3]"
2017000049142,5,46600,1,0,3,0,0,1,inf,2,"[5, 6, 4]"
2017000049210,4,690,2,0,3,0,0,1,inf,3,"[4, 2, 5, 3]"
2017000049507,1,9100,1,0,0,1,1,1,inf,1,"[1, 3, 2]"
2017000049709,1,13700,1,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000049818,2,19000,1,0,0,2,0,1,inf,2,"[2, 1, 3, 4]"
2017000050722,2,23700,1,0,0,1,0,1,inf,4,"[2, 3, 1, 4]"
2017000050802,1,9580,1,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000051768,1,13000,6,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000052224,3,5500,1,0,2,0,0,1,inf,2,"[3, 2, 4, 1]"
2017000052815,3,4000,9,0,1,0,0,1,inf,3,"[3, 4, 2, 1]"
2017000053760,1,9100,1,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000054347,3,23500,1,0,1,0,0,1,inf,3,"[3, 4, 2, 1]"
2017000054437,2,27500,2,0,1,0,0,1,inf,1,"[2, 4, 1, 3]"
2017000054852,1,15000,1,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000055357,6,44900,1,0,4,0,1,1,inf,1,"[6, 5]"
2017000055470,1,10000,2,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000055498,1,3600,2,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000055569,1,11400,2,0,0,0,1,1,inf,1,"[1, 2, 3]"
2017000055740,1,20000,1,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000057183,4,44900,1,0,2,0,0,1,inf,4,"[4, 2, 3, 5]"
2017000057223,1,2600,1,0,0,1,0,1,inf,2,"[1, 2, 3]"
2017000057564,5,36820,1,0,3,0,0,1,inf,2,"[5, 6, 4]"
2017000058171,4,7560,2,0,1,0,0,1,inf,3,"[4, 3, 5, 2]"
2017000059459,4,30000,2,0,2,0,0,1,inf,3,"[4, 2, 5, 3]"
2017000059614,2,22550,1,0,1,0,0,1,inf,1,"[2, 1, 4, 3]"
2017000059745,4,35000,8,0,1,0,0,1,inf,2,"[4, 5, 2, 3]"
2017000060830,1,16200,2,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000061568,4,37900,2,0,2,0,0,1,inf,4,"[4, 3, 2, 5]"
2017000061872,2,26300,5,0,0,1,0,1,inf,3,"[2, 1, 4, 3]"
2017000062786,8,61500,2,0,4,1,0,1,inf,1,"[6, 5]"
2017000063186,1,9100,1,0,0,1,0,1,inf,2,"[1, 3, 2]"
2017000063985,3,28300,8,0,1,0,0,1,inf,4,"[3, 4, 2, 1]"
2017000064328,1,11500,1,0,0,1,0,1,inf,2,"[1, 2, 3]"
2017000064611,5,32600,1,0,2,1,0,1,inf,1,"[5, 4, 6]"
2017000065214,3,27100,2,0,2,0,0,1,inf,2,"[3, 2, 1, 4]"
2017000065270,3,27300,1,0,2,0,0,1,inf,2,"[3, 2, 1, 4]"
2017000065788,1,20000,1,0,0,0,0,1,inf,2,"[1, 2, 3]"
2017000065855,2,25140,9,0,0,1,0,1,inf,1,"[2, 3, 1, 4]"
2017000065952,1,18800,1,1,0,0,0,1,inf,2,"[1, 2, 3]"
2017000066250,1,21200,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000066264,1,21700,1,0,0,0,0,1,inf,3,"[1, 3, 2]"
2017000066270,2,20900,2,0,0,2,0,1,inf,1,"[2, 1, 4, 3]"
2017000066801,2,10600,1,0,0,2,1,1,inf,1,"[2, 1, 3, 4]"
2017000067066,2,18000,1,0,1,0,0,1,inf,1,"[2, 3, 4, 1]"
2017000068110,1,17000,1,0,0,0,0,1,inf,2,"[1, 2, 3]"
2017000069205,1,19700,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000069568,1,6000,1,0,0,0,0,1,inf,3,"[1, 3, 2]"
2017000071389,1,18000,1,1,0,1,0,1,inf,1,"[1, 2, 3]"
2017000071530,1,17800,1,0,0,1,1,1,inf,1,"[1, 3, 2]"
2017000072247,2,24900,2,0,1,1,0,1,inf,1,"[2, 1, 3, 4]"
2017000072465,2,10600,1,0,0,2,0,1,inf,1,"[2, 1, 4, 3]"
2017000072646,3,33500,1,0,1,0,1,1,inf,4,"[3, 1, 4, 2]"
2017000072721,1,19200,2,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000073466,2,23700,1,0,0,2,0,1,inf,1,"[2, 1, 3, 4]"
2017000073855,1,16800,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000074265,1,20420,2,0,0,0,0,1,inf,3,"[1, 3, 2]"
2017000075087,4,24700,2,0,3,0,0,1,inf,4,"[4, 3, 2, 5]"
2017000075129,2,1950,1,0,0,0,0,1,inf,1,"[2, 3, 4, 1]"
2017000075271,2,19300,6,0,0,2,0,1,inf,1,"[2, 1, 4, 3]"
2017000075351,4,38890,2,0,1,0,0,1,inf,4,"[4, 2, 3, 5]"
2017000075448,4,36800,2,0,2,0,0,1,inf,2,"[4, 5, 3, 2]"
2017000075849,2,17000,1,0,0,0,0,1,inf,1,"[2, 3, 4, 1]"
2017000076159,2,7400,1,1,0,2,0,1,inf,1,"[2, 3, 4, 1]"
2017000076369,1,12200,1,0,0,1,1,1,inf,1,"[1, 3, 2]"
2017000076563,7,58000,1,0,2,0,0,1,inf,1,"[6, 5]"
2017000076705,4,38000,1,0,1,0,1,1,inf,2,"[4, 5, 2, 3]"
2017000077236,1,10900,2,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000077584,1,2000,2,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000078126,1,20000,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000078225,1,4600,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000079824,3,18850,2,0,1,1,0,1,inf,2,"[3, 1, 2, 4]"
2017000079948,1,11100,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000080121,8,51600,2,0,4,1,0,1,inf,1,"[6, 5]"
2017000080332,1,7300,1,1,0,0,0,1,inf,1,"[1, 3, 2]"
2017000081295,2,24600,1,0,0,2,1,1,inf,2,"[2, 4, 3, 1]"
2017000082476,7,65000,2,0,5,0,1,1,inf,1,"[6, 5]"
2017000082550,1,9300,2,1,0,1,0,1,inf,1,"[1, 2, 3]"
2017000082569,6,58900,1,0,4,0,0,1,inf,1,"[6, 5]"
2017000082737,3,24000,1,0,0,2,0,1,inf,2,"[3, 1, 2, 4]"
2017000082809,6,57000,1,0,4,0,1,1,inf,1,"[6, 5]"
2017000084688,5,35000,8,0,3,0,0,1,inf,3,"[5, 4, 6]"
2017000084754,1,2300,2,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000085277,1,9400,2,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000085314,2,13500,1,0,1,1,0,1,inf,1,"[2, 4, 1, 3]"
2017000085921,4,24800,2,0,3,0,0,1,inf,3,"[4, 3, 5, 2]"
2017000086458,1,13600,2,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000086621,1,20000,1,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000086674,4,10700,2,0,2,0,0,1,inf,3,"[4, 3, 5, 2]"
2017000087374,2,8000,8,0,1,0,0,1,inf,2,"[2, 4, 1, 3]"
2017000087488,2,17400,1,0,0,2,0,1,inf,2,"[2, 1, 3, 4]"
2017000087509,2,27500,1,0,0,2,0,1,inf,3,"[2, 3, 1, 4]"
2017000088094,3,32000,8,0,0,0,0,1,inf,2,"[3, 4, 1, 2]"
2017000089420,3,14100,1,0,2,0,0,1,inf,4,"[3, 2, 1, 4]"
2017000091227,3,30000,2,0,1,0,0,1,inf,3,"[3, 2, 4, 1]"
2017000091512,3,23900,8,0,1,0,0,1,inf,3,"[3, 1, 4, 2]"
2017000091718,1,18000,2,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000091870,4,18200,8,0,2,0,0,1,inf,4,"[4, 2, 3, 5]"
2017000092445,6,26000,1,0,4,0,1,1,inf,1,"[6, 5]"
2017000093412,4,40000,6,0,2,0,0,1,inf,3,"[4, 3, 5, 2]"
2017000093465,1,9910,2,1,0,1,1,1,inf,2,"[1, 2, 3]"
2017000093511,2,9000,1,0,0,0,0,1,inf,2,"[2, 4, 1, 3]"
2017000093564,1,12000,1,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000093813,7,30800,1,0,2,1,0,1,inf,1,"[6, 5]"
2017000093837,2,22900,2,0,0,2,1,1,inf,1,"[2, 3, 1, 4]"
2017000094249,2,25200,2,0,0,1,0,1,inf,1,"[2, 4, 1, 3]"
2017000094386,4,34000,1,0,2,0,0,1,inf,4,"[4, 3, 2, 5]"
2017000094541,1,14000,2,0,0,1,0,1,inf,2,"[1, 2, 3]"
2017000094968,1,16800,2,1,0,0,0,1,inf,1,"[1, 3, 2]"
2017000095383,1,2050,1,0,0,1,0,1,inf,3,"[1, 3, 2]"
2017000095849,1,15500,1,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000095870,2,20600,1,0,0,1,0,1,inf,1,"[2, 1, 4, 3]"
2017000096094,1,15400,2,0,0,1,0,1,inf,2,"[1, 2, 3]"
2017000096474,3,18100,2,0,0,1,0,1,inf,4,"[3, 4, 1, 2]"
2017000096543,1,16600,1,0,0,1,0,1,inf,2,"[1, 2, 3]"
2017000097120,5,36000,2,0,4,0,0,1,inf,2,"[5, 6, 4]"
2017000097201,1,2800,2,1,0,1,0,1,inf,2,"[1, 2, 3]"
2017000097253,1,8800,2,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000097514,5,41000,1,0,3,0,1,1,inf,3,"[5, 4, 6]"
2017000098295,1,10600,1,0,0,1,0,1,inf,2,"[1, 2, 3]"
2017000098939,2,18200,1,0,0,2,0,1,inf,1,"[2, 4, 3, 1]"
2017000099536,2,17500,2,0,0,1,0,1,inf,2,"[2, 4, 1, 3]"
2017000099963,1,20000,2,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000100018,1,1300,2,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000100116,2,6000,2,0,0,1,0,1,inf,1,"[2, 3, 4, 1]"
2017000101333,2,4100,2,0,0,1,0,1,inf,1,"[2, 1, 3, 4]"
2017000101477,1,7900,2,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000101556,3,17200,2,0,0,0,0,1,inf,2,"[3, 1, 4, 2]"
2017000102454,4,25000,2,0,1,0,1,1,inf,2,"[4, 5, 3, 2]"
2017000102630,1,12500,2,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000102764,2,12000,1,0,1,0,0,1,inf,1,"[2, 3, 1, 4]"
2017000103061,2,28500,6,0,0,0,0,1,inf,1,"[2, 1, 4, 3]"
2017000103218,2,17000,1,0,0,0,0,1,inf,1,"[2, 3, 4, 1]"
2017000103357,3,25000,8,0,1,0,0,1,inf,4,"[3, 2, 1, 4]"
2017000103694,1,12000,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000104373,3,31000,1,0,2,0,1,1,inf,3,"[3, 1, 4, 2]"
2017000104649,1,8700,6,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000104960,1,16800,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000105767,1,16200,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000105936,3,5900,2,0,2,0,0,1,inf,3,"[3, 1, 4, 2]"
2017000106037,1,18000,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000106358,1,17800,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000106941,1,14400,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000107185,3,32860,1,0,0,0,0,1,inf,2,"[3, 4, 2, 1]"
2017000107396,4,34730,2,0,1,0,0,1,inf,2,"[4, 5, 3, 2]"
2017000107562,3,22100,1,0,1,0,0,1,inf,4,"[3, 2, 1, 4]"
2017000108314,3,35000,1,0,1,0,1,1,inf,4,"[3, 1, 2, 4]"
2017000108557,1,9300,1,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000108892,5,40000,2,0,3,0,0,1,inf,2,"[5, 6, 4]"
2017000109481,2,3000,1,0,0,0,0,1,inf,1,"[2, 4, 1, 3]"
2017000109745,2,50,1,0,0,2,0,1,inf,1,"[2, 3, 4, 1]"
2017000109805,6,48000,1,0,2,0,0,1,inf,1,"[6, 5]"
2017000110002,1,1800,1,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000110210,3,29000,2,0,1,0,0,1,inf,2,"[3, 1, 4, 2]"
2017000110216,12,66440,8,0,8,0,0,1,inf,1,"[6, 5]"
2017000110377,2,29400,1,0,0,2,1,1,inf,3,"[2, 3, 4, 1]"
2017000111609,1,630,2,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000111853,1,11960,2,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000113416,3,4000,1,0,0,0,0,1,inf,2,"[3, 1, 2, 4]"
2017000114419,2,20100,1,0,0,2,1,1,inf,2,"[2, 4, 1, 3]"
2017000114551,4,35500,1,0,2,0,0,1,inf,2,"[4, 5, 3, 2]"
2017000115197,1,21500,1,1,0,1,0,1,inf,1,"[1, 3, 2]"
2017000117281,1,1700,1,0,0,1,0,1,inf,1,"[1, 3, 2]"
2017000118242,1,15600,1,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000118278,1,18100,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000118587,4,24700,1,0,2,0,0,1,inf,4,"[4, 2, 3, 5]"
2017000118594,4,12500,8,0,1,0,0,1,inf,3,"[4, 2, 5, 3]"
2017000119890,4,18500,1,0,2,0,0,1,inf,3,"[4, 3, 5, 2]"
2017000120335,1,14600,2,0,0,1,0,1,inf,1,"[1, 2, 3]"
2017000121497,1,8800,2,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000121548,3,22600,6,0,1,0,0,1,inf,3,"[3, 2, 4, 1]"
2017000122215,2,26500,2,0,0,2,0,1,inf,2,"[2, 4, 1, 3]"
2017000122589,1,8800,2,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000123074,1,11600,2,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000123758,2,27400,1,0,0,2,1,1,inf,2,"[2, 1, 4, 3]"
2017000123825,2,4200,2,0,0,2,1,1,inf,3,"[2, 3, 1, 4]"
2017000124000,2,23000,1,0,0,0,0,1,inf,2,"[2, 4, 1, 3]"
2017000124246,2,25900,1,1,0,2,0,1,inf,2,"[2, 1, 4, 3]"
2017000124461,1,10000,2,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000124471,2,20000,2,0,1,0,0,1,inf,3,"[2, 4, 1, 3]"
2017000124526,2,15000,1,0,0,0,0,1,inf,2,"[2, 1, 4, 3]"
2017000124717,2,19000,6,0,0,0,0,1,inf,4,"[2, 4, 3, 1]"
2017000125014,2,4800,1,0,0,0,0,1,inf,4,"[2, 3, 4, 1]"
2017000125029,1,18500,1,0,0,1,0,1,inf,2,"[1, 2, 3]"
2017000125103,1,2500,6,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000125483,1,9700,2,0,0,0,0,1,inf,1,"[1, 3, 2]"
2017000125576,1,16000,2,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000125776,2,16900,8,0,0,1,0,1,inf,1,"[2, 4, 1, 3]"
2017000125805,2,25000,1,0,0,2,1,1,inf,1,"[2, 1, 4, 3]"
2017000126945,1,14000,2,0,0,0,1,1,inf,1,"[1, 2, 3]"
2017000127051,3,17650,2,0,0,0,0,1,inf,2,"[3, 1, 4, 2]"
2017000128688,1,15100,1,0,0,1,0,1,inf,3,"[1, 3, 2]"
2017000128742,1,8400,2,0,0,1,0,1,inf,2,"[1, 2, 3]"
2017000128963,1,6000,2,0,0,1,0,1,inf,2,"[1, 2, 3]"
2017000129843,1,13500,1,0,0,0,0,1,inf,1,"[1, 2, 3]"
2017000130269,3,17500,1,0,0,2,1,1,inf,2,"[3, 1, 2, 4]"
2017000130474,3,35200,1,0,1,0,0,1,inf,2,"[3, 1, 4, 2]"
2017000130537,1,13200,2,1,0,1,0,1,inf,3,"[1, 3, 2]"
2017000130635,2,9000,2,0,0,1,0,1,inf,1,"[2, 3, 1, 4]"
2017000131008,5,51000,6,0,2,0,0,1,inf,1,"[5, 6, 4]"
2017000131195,5,45000,1,0,0,0,1,1,inf,1,"[5, 4, 6]"
2017000131464,6,55000,1,0,4,0,0,1,inf,1,"[6, 5]"
2017000132304,3,27000,8,0,1,0,0,1,inf,3,"[3, 2, 1, 4]"
2017000132389,3,26200,1,0,0,0,0,1,inf,3,"[3, 4, 1, 2]"
2017000132935,2,21060,2,0,0,2,0,1,inf,2,"[2, 1, 4, 3]"
2017000133666,2,21100,1,0,0,0,0,1,inf,2,"[2, 1, 3, 4]"
2017000134005,1,15100,1,0,0,1,0,1,inf,1,"[1, 2, 3]"
